"","folio","Edo","VERSION","INCIO","B","C","p1","p2a","p2b","p2c","P4","P5","p6","p7","P8","P9","P10A","P10B","P10C","P10D","P10E","P11","P12A","P12B","P12C","P12D","P12E","P12F","P12G","P12H","P12I","P12J","P12K","P12L","P12M","P12N","P12O","P12P","P12Q","P13A","P13B","P13C","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","p26","P27","P28","P29A","P29B","P29C","P29D","P29E","P29F","P29G","P30","P31","P32","P33","P34","P35A","P35B","P35D","P35E","P36","P37","P38A","P38B","P38C","P38D","P38E","P39A","P39B","P39C","P39D","P40","P41A","P41B","P41C","P42","P43","P44","P45","P46A","P46B","P46C","P46D","P46E","P46F","P46G","P47","boleta1","boleta2","FINAL","DIA","escol_x","gedad","cruce","ponde_rake","cve_unica_sec","circ","ClaveEntidad","Entidad","ClaveMun","Municipio","DistritoFederal","SECCION","Tipo1","FE_Final_","p1_recodificada","p19_recodificada"
"11",11,"Baja California","Versión A",1817,"Mujer","21","Delincuencia","Inseguridad pública","Mal gobierno","Economía","Aprueba algo","Que permanezca","Políticos","Autoridades","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","Sí","En el Gobierno y sector público","Algo","Algo","Mucha","Algo","Algo","Mucha","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Poca","Algo","Algo","Algo","Ns/Nc","Ns/Nc","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Ns/Nc","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Disminuido","Igual","No","No","Sí","No","Sí","Sí","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Poco","Poco","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PAN","Ns/Nc","Universidad sin terminar","Estudiante","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Ns/Nc","PAN","PAN",1831,3,"Preparatoria o equivalente","18-29",21,0.899190930156011,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",57135.3465862848,"Inseguridad",1
"12",12,"Baja California","Versión B",1837,"Hombre","25","Corrupción","Inseguridad pública","Mal gobierno","Economía","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","Sí","En el Gobierno y sector público","Algo","Mucha","Algo","Algo","Mucha","Mucha","Algo","Mucha","Algo","Algo","Mucha","Mucha","Algo","Poca","Algo","Algo","Algo","Corrupto","Ns/Nc","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Ns/Nc","No","Cuatro","No",NA,NA,"Sí","No",NA,"No sabía en dónde hacerlo","Disminuido","Disminuirá","No","No","No","No","Sí","No","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Algo","Algo","Algo","Algo","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Secundaria sin terminar","Otro","Sí","Sí","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1851,3,"Hasta primaria","18-29",11,1.40813227275697,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",89473.9067589836,"Corrupción",4
"13",13,"Baja California","Versión A",1904,"Mujer","20","Desempleo","Inseguridad pública","Economía","Desempleo","Aprueba algo","Que permanezca","Políticos","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","Sí","En el Gobierno y sector público","Algo","Mucha","Algo","Algo","Mucha","Mucha","Mucha","Algo","Algo","Algo","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Ns/Nc","No","Una","No",NA,NA,"Sí","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","Sí","Sí","Sí","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Algo","Algo","Algo","Algo","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Otro","Ns/Nc","Preparatoria o bachillerato","Ama de casa","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Ns/Nc","Nueva Alianza","Nueva Alianza",1916,3,"Preparatoria o equivalente","18-29",21,0.899190930156011,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",57135.3465862848,"Desempleo",1
"14",14,"Baja California","Versión B",1919,"Hombre","38","Corrupción","Corrupción","Economía","Aumento de precios/Inflación","Aprueba totalmente","Que permanezca","Policias","Políticos","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","Sí","En el Gobierno y sector público","Algo","Algo","Algo","Mucha","Algo","Algo","Algo","Mucha","Poca","Mucha","Algo","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Sí","Una","Sí","15","400","Sí","Sí","No",NA,"Aumentado","Ns/Nc","No","No","No","No","Sí","Sí","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Poco","Poco","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Bien","Castigar","Castigar","Castigar","Otro","PRI","Secundaria","Otro","Sí","No","Sí","No","No","Sí","Sí","$2,601 -  $6,000","PT","PT",1927,3,"Secundaria","30-49",12,0.746042711847861,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",47404.1802247758,"Corrupción",1
"15",15,"Baja California","Versión A",1933,"Mujer","34","Seguridad / Inseguridad","Inseguridad pública","Economía","Corrupción","Aprueba totalmente","Que permanezca","Ns/Nc","Ns/Nc","La impunidad o falta de castigo","No se justifica","No","No","No","No","Sí","Ns/Nc","Algo","Mucha","Mucha","Algo","Algo","Algo","Algo","Algo","Algo","Mucha","Mucha","Mucha","Algo","Poca","Algo","Algo","Algo","Corrupto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Ns/Nc","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Ns/Nc","Igual","No","No","No","No","Sí","No","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","Mayores","Poco","Poco","Poco","Poco","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Otro","PRI","Carrera técnica o comercial sin terminar","Ama de casa","Sí","No","Sí","No","No","Sí","Sí","Ns/Nc","PT","Moviento Ciudadano",1941,3,"Secundaria","30-49",22,0.760722874693201,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",48336.970096184,"Inseguridad",2
"16",16,"Baja California","Versión B",1947,"Hombre","49","Narcotráfico / Venta de droga","Corrupción","Economía","Inseguridad pública","Aprueba algo","Ns/Nc","Policias","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","Sí","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Algo","Algo","Algo","Algo","Mucha","Mucha","Algo","Poca","Algo","Algo","Corrupto","Ns/Nc","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","Sí","Tres","Sí","8","500","Sí","Sí","Sí",NA,"Igual","Disminuirá","No","No","No","No","Sí","No","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Poco","Poco","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PAN","PRI","Secundaria","Otro","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","Candidato Independiente","Candidato Independiente",1959,3,"Secundaria","30-49",12,0.746042711847861,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",47404.1802247758,"Inseguridad",3
"17",17,"Baja California","Versión A",2007,"Hombre","46","Economía","Economía","Inseguridad pública","Desempleo","Aprueba algo","Que renuncie","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Mucha","Algo","Algo","Mucha","Algo","Algo","Mucha","Mucha","Algo","Algo","Algo","Algo","Algo","Corrupto","Corrupto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Ns/Nc","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","Sí","No","Sí","El Gobierno","Bien","Está siendo exitoso","Ns/Nc","No habría diferencia","Poco","Algo","Poco","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PAN","PRI","Preparatoria o bachillerato sin terminar","Otro","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","PAN","PAN",2017,3,"Secundaria","30-49",12,0.746042711847861,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",47404.1802247758,"Economía",1
"18",18,"Baja California","Versión B",1020,"Hombre","65","Delincuencia","Inseguridad pública","Corrupción","Economía","Aprueba algo","Ns/Nc","Ns/Nc","Ns/Nc","La impunidad o falta de castigo","No se justifica","No","No","No","Sí","Sí","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","Sí","Ns/Nc","No",NA,NA,"Sí","Sí","No",NA,"Aumentado","Aumentará","No","No","No","Sí","No","Sí","Sí","Los ciudadanos","Bien","Ns/Nc","Ns/Nc","No habría diferencia","Algo","Algo","Poco","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ns/Nc","Ns/Nc","Primaria","Desempleado","No","Sí","No","No","No","No","No","Ns/Nc","Ns/Nc","Ns/Nc",2031,3,"Hasta primaria","50-+",13,1.01311182301472,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",64373.9757568124,"Inseguridad",9
"19",19,"Baja California","Versión A",2037,"Hombre","62","Delincuencia","Inseguridad pública","Corrupción","Pobreza","Aprueba algo","Ns/Nc","Mal gobierno / Gobierno","Delincuencia","La impunidad o falta de castigo","Ns/Nc","No","No","No","No","Sí","En el Gobierno y sector público","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Ns/Nc","Ns/Nc","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Ns/Nc","Sí","Una","No",NA,NA,"No aplica","No",NA,"No sabía en dónde hacerlo","Igual","Igual","No","No","No","No","Sí","Sí","Sí","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Poco","Poco","Poco","Seguridad pública","Ns/Nc","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PRI","PAN","Secundaria","Otro","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","PRI","PRI",2048,3,"Secundaria","50-+",13,0.602357732196415,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",38274.3159920435,"Inseguridad",1
"20",20,"Baja California","Versión B",2050,"Hombre","66","Economía","Inseguridad pública","Mal gobierno","Corrupción","Aprueba algo","Que permanezca","Políticos","Jueces","La impunidad o falta de castigo","Ns/Nc","No","No","No","Sí","Sí","En el Gobierno y sector público","Algo","Algo","Mucha","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Mucha","Mucha","Algo","Nada","Algo","Algo","Algo","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","Sí","Cuatro","No",NA,NA,"No aplica","No",NA,"Ns/Nc","Disminuido","Igual","No","No","No","Sí","Sí","Sí","Sí","El Gobierno","Bien","Está siendo exitoso","Ns/Nc","Menores","Poco","Algo","Algo","Poco","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","PAN","Otro","Primaria","Otro","Sí","No","No","No","No","No","No","Ns/Nc","PT","PAN",2110,2,"Hasta primaria","50-+",13,1.01311182301472,1020376,1,2,"Baja California    ",2,"MEXICALI                                         ",1,376,"Urbano",64373.9757568124,"Economía",4
"21",21,"Baja California","Versión A",1110,"Mujer","27","Narcotráfico / Venta de droga","Inseguridad pública","Pobreza","Aumento de precios/Inflación","Aprueba algo","Que permanezca","Políticos","Corrupción","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Mucha","Poca","Algo","Algo","Mucha","Mucha","Nada","Poca","Mucha","Algo","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Tres","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","Sí","No","Sí","Los ciudadanos","Bien","Está siendo exitoso","Sí","No habría diferencia","Nada","Poco","Algo","Nada","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Trabajador en sector privado","Sí","No","Sí","Sí","No","Sí","Sí","Ns/Nc","MORENA","MORENA",1138,2,"Secundaria","18-29",21,0.909512391194432,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",57791.1808856862,"Inseguridad",3
"22",22,"Baja California","Versión B",1207,"Hombre","21","Narcotráfico / Venta de droga","Inseguridad pública","Economía","Corrupción","Aprueba algo","Que permanezca","Policias","Mal gobierno / Gobierno","La pobreza y desigualdad","No se justifica","No","No","No","No","No","Entre los ciudadanos","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Mucha","Algo","Algo","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Sólo algunas veces/Casi nunca","La mayoría de las veces","Muy frecuentemente","Es inútil","No","Una","Sí","Varias / Muchas","500","No aplica","No",NA,"No sirve denunciar","Igual","Igual","Sí","No","No","No","Sí","No","Sí","El Gobierno","Bien","Ns/Nc","Sí","Mayores","Poco","Algo","Algo","Algo","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ns/Nc","PRI","Secundaria sin terminar","Desempleado","Sí","No","No","Sí","Sí","Sí","Sí","Ns/Nc","Ns/Nc","Ns/Nc",1238,2,"Hasta primaria","18-29",11,1.40813227275697,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",89473.9067589836,"Inseguridad",1
"23",23,"Baja California","Versión A",1251,"Mujer","40","Pobreza","Inseguridad pública","Pobreza","Corrupción","Desaprueba algo","Que renuncie","Inseguridad","Políticos","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","Ns/Nc","Una","Sí","1","20211","No aplica","No",NA,"No sirve denunciar","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Nada","Mucho","Mucho","Seguridad pública","Ns/Nc","Mucha","Mucha","Algo","Poca","Nada","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","Ns/Nc","Preparatoria o bachillerato sin terminar","Ama de casa","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1321,2,"Secundaria","30-49",22,0.760722874693201,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",48336.970096184,"Pobreza",1
"24",24,"Baja California","Versión B",1331,"Hombre","22","Corrupción","Mal gobierno","Pobreza","Corrupción","Desaprueba totalmente","Que renuncie","Mal gobierno / Gobierno","Políticos","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Poca","Poca","Mucha","Mucha","Mucha","Nada","Algo","Mucha","Poca","Algo","Corrupto","Corrupto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Ns/Nc","Ninguna","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","No","No","No","El Gobierno","Muy mal","Está fracasando","Ns/Nc","No habría diferencia","Mucho","Algo","Mucho","Poco","Impartición de justicia","Ns/Nc","Algo","Algo","Algo","Algo","Algo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","PAN","PRI","Secundaria","Trabajador en sector privado","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$2,601 -  $6,000","PAN","PAN",1355,2,"Secundaria","18-29",11,0.837221857629189,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",53197.7796939716,"Corrupción",0
"25",25,"Baja California","Versión A",1410,"Mujer","47","Seguridad / Inseguridad","Aumento de precios/Inflación","Pobreza","Economía","Aprueba totalmente","Que permanezca","Inseguridad","Inseguridad","La impunidad o falta de castigo","No se justifica","Sí","No","Sí","No","No","Entre los ciudadanos","Algo","Mucha","Algo","Algo","Poca","Mucha","Algo","Algo","Poca","Poca","Mucha","Mucha","Mucha","Ns/Nc","Algo","Mucha","Algo","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","La mayoría de las veces","Frecuentemente","Sirve","Ns/Nc","Ninguna","Sí","2","500","No aplica","No",NA,"Ns/Nc","Igual","Igual","No","No","No","No","No","No","No","Los ciudadanos","Muy bien","Está siendo exitoso","Sí","Mayores","Poco","Poco","Algo","Algo","Impartición de justicia","Las personas son honestas y no necesitan ser vigiladas","Algo","Algo","Algo","Algo","Algo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Morena","PAN","Primaria","Trabajador por cuenta propia","Sí","No","No","Sí","No","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1427,2,"Hasta primaria","30-49",22,1.27946782650101,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",81298.4598281616,"Inseguridad",0
"26",26,"Baja California","Versión B",1455,"Hombre","41","Economía","Inseguridad pública","Pobreza","Corrupción","Aprueba algo","Que permanezca","Policias","Mal gobierno / Gobierno","La cultura y educación","Sí se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Poca","Mucha","Mucha","Poca","Poca","Poca","Poca","Mucha","Mucha","Mucha","Ns/Nc","Poca","Mucha","Ns/Nc","Corrupto","Honesto","Corrupto","La mayoría de las veces","La mayoría de las veces","Muy frecuentemente","Es inútil","No","Una","No",NA,NA,"No","No",NA,"No sabía en dónde hacerlo","Igual","Igual","Sí","Sí","No","No","Sí","No","Sí","Los ciudadanos","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Algo","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato sin terminar","Trabajador en sector privado","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Hasta $2,600","MORENA","MORENA",1517,2,"Secundaria","30-49",12,0.746042711847861,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",47404.1802247758,"Economía",1
"27",27,"Baja California","Versión A",1527,"Mujer","72","Economía","Mal gobierno","Economía","Corrupción","Desaprueba algo","Que renuncie","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La pobreza y desigualdad","No se justifica","No","No","No","No","No","Entre los ciudadanos","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","No","Ns/Nc","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","No","No","No","Todos","Muy mal","Está fracasando","No","No habría diferencia","Algo","Algo","Algo","Algo","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","No lo conoce","Castigar","Castigar","Castigar","PRI","Morena","Primaria sin terminar","Ama de casa","No","No","No","No","No","No","No","Ns/Nc","PRI","PRI",1548,2,"Hasta primaria","50-+",23,1.35905504856531,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",86355.498732785,"Economía",9
"28",28,"Baja California","Versión B",1607,"Hombre","45","Seguridad / Inseguridad","Inseguridad pública","Economía","Corrupción","Aprueba totalmente","Que permanezca","Educación","No se ejercen los derechos de los ciudadanos","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Poca","Mucha","Mucha","Nada","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Corrupto","Corrupto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","No","Ns/Nc","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","No","No","No","Los ciudadanos","Bien","Está siendo exitoso","Sí","No habría diferencia","Algo","Algo","Algo","Algo","Impartición de justicia","Las personas son honestas y no necesitan ser vigiladas","Algo","Algo","Algo","Algo","Algo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato sin terminar","Trabajador por cuenta propia","Sí","No","Sí","No","No","Sí","Sí","Ns/Nc","MORENA","Candidato Independiente",1631,2,"Secundaria","30-49",12,0.746042711847861,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",47404.1802247758,"Inseguridad",9
"29",29,"Baja California","Versión A",907,"Mujer","52","Corrupción","Inseguridad pública","Pobreza","Corrupción","Aprueba algo","Que permanezca","Policias","Otra respuesta","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Poca","Mucha","Algo","Poca","Poca","Nada","Mucha","Algo","Mucha","Nada","Algo","Mucha","Algo","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Sirve","Ns/Nc","Ninguna","No",NA,NA,"No","No",NA,"No sirve denunciar","Igual","Igual","No","No","No","No","Sí","No","Sí","Todos","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Nada","Poco","Algo","Nada","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ns/Nc","Ns/Nc","Secundaria","Ama de casa","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","En blanco","Ns/Nc",940,2,"Secundaria","50-+",23,0.808042407942561,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",51343.6929643009,"Corrupción",0
"30",30,"Baja California","Versión B",1011,"Hombre","82","Economía","Inseguridad pública","Pobreza","Corrupción","Aprueba totalmente","Que permanezca","Políticos","Políticos","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Ns/Nc","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Mucha","Poca","Nada","Algo","Mucha","Mucha","Mucha","Nada","Mucha","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","No","Ninguna","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Igual","No","No","No","No","No","No","No","El Gobierno","Muy bien","Está siendo exitoso","Sí","No habría diferencia","Algo","Algo","Algo","Algo","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Algo","Algo","Algo","Algo","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PAN","Ninguno","Jubilado o pensionado","No","No","No","No","No","No","No","Ns/Nc","En blanco","En blanco",1042,2,"Hasta primaria","50-+",13,1.01311182301472,1021024,1,2,"Baja California    ",4,"TIJUANA                                          ",6,1024,"Urbano",64373.9757568124,"Economía",0
